index,address,amount
91,0xD21697a484b078e689115E3615B983494bB7DA6d,280
92,0x1ec711306F325714a2f2cdeFb3a6aA9a660F4371,275
93,0x378908b8571eB121f2a08E8f62473b5A1a36Ee0F,275
94,0xB48F73793CE4d184A2D088c10dE6Ea1493F91f06,275
95,0x0C824a4Cf93d924a3c6454221F6C5d7F611ACD9C,270
96,0xE32A05a9533cAD83BC589637C101a0C4ab604A30,270
97,0x20819c7CeE4cf6a117563ff2dF36CD471fdF8216,265
98,0x37c78FEE4B14B08b6BeF4d5083A433a27B441783,265
99,0xC0c648e8a51Fa89141b2ff297C8cD3270ab93576,265
100,0x2728eae2A4f2b94391EEf84E742037A92ed01f13,260
101,0x51e35272DA83567e612b9A139Ba29c59B28A99B2,260
102,0x5de8725c832dd1d97906b9df4a158C35B644195c,260
103,0xb8A6780Ee5642dA57d880962e26F50729C41E302,260
104,0xba2C8F23bF098140b96e66c874DCe02105A60bBc,260
105,0x2799f2CFf4f607462D052f0D33c1d1671674F32C,255
106,0x8ec62D3d70C1A27b68B396851367a4f17b096FE3,255
107,0x6a511B16247A9f40e312a95b299C63Afbe000afb,250
108,0xC4f8e336911da71Fb49bF754F27A4D1bCceA0BB0,250
109,0xE985155b48776093b5Ba8CD8D70F040A83d9DA62,250
110,0x1b17a7a3Ef55B54b054b0D3E1Da1bEbacB66AeEA,245
111,0x607c156BcAb1183AAdad17DCA49B3691F9EBbEd9,245
112,0xb1135e9F955Df41d171000189C6BD491FB4FE224,245
113,0xc0195F22a6625a4548CC01E8d5c0B6F28fc889C4,245
114,0x0cCb61564Bc72A9666eB879Daf2c0e0DCdD61a6a,240
115,0x2a48e59B9fa33E3BF398e6b1f31aa97bf9030AF7,240
116,0x8fb4aE676B75B2c7ADC5f919A476899B7E373091,240
117,0xd062bb140549f8d296AfDAb931a72061B326A23D,235
118,0x981c1De18C649c09C65EB1e77C3B48FdBA555fAb,230
119,0xb0a36a239f8a2995b80eef5f04721ab8b7e1e0bd,230
120,0xDe9AD33886578aa2fD8dAcCBAcf7f78D8FF10ed9,230
121,0xFd79C57F4a2a0A020b955AC031C4499714509759,230
122,0x2dc6dA1fF67c4FA174b6666F0399E8352d43Ef60,225
123,0x3189a6C511f0Ebb5E6332074741485ADe089aF9E,225
124,0x64F5A3E3532DAa7f768d10651A1011aaBFE603cC,225
125,0xcED6685F44eD148536031698040F7Ab84467042a,225
126,0xE4D40065FBa110557880f4a6D659F48D78C41Fd6,225
127,0xE7D664741bA8Cfb5e869C7014201f65Acfea590e,225
128,0x2f2Ea1203c8AFb8ee58CB018e01d81BaE1c0fC6f,220
129,0x38c51FC2561C489265ffA2cD265f22c1300C1cb3,220
130,0x5974ed3e1843b104d5F4BB2115330E5355757544,220
131,0x78893A68D1516da07aDC5D73DEE4550a1b6B4De7,220
132,0x8807AA3866697f4dCa5251Ce3C826258dF6BAc8C,220
133,0x97e0b37eE6138e57269D9F845343F8Ab1bD071C9,220
134,0xab80e1b6cb6f6d23a50d3804443acd8cc1dfe2f0,220
135,0xDB493426A5310D00b9760151666a07e06c6a2ce2,220
136,0x04bDf1Bf5930Ad4021EEb4bd0070CDE570eebECC,215
137,0x4Bc3D451133Fd5f61113D5fEdA40e4F289b81e69,215
138,0x5ae41Cd031b23D1F283A7d6D0782D1EB2B56fC3b,215
139,0x67FFE4cA3Df68Dd8a416706930013466838Fdf54,215
140,0x8A426b6C4b64cE6F692fD37849f8090cCaeF88Ab,215
141,0x8bFe19798c2788AB1D6a59a74EFd8F0787617B66,215
142,0xc280c4124815d6133D06aa6e4830Dc0974c4c2F1,215
143,0x02f385146205D19f0Ef4f7a2742ae241b787BC8F,210
144,0x177fe6e0E73bb7C12e523e5D48b26d61fcdFb610,210
145,0x2F88604Cf4b984696827854c901b9e6a6f5f9CB5,210
146,0x39c1efBFC02d42D5EE8d8C1c6BC3D3f3c3D55ED4,210
147,0x4b5D401d398892a696037649D0aFBEc2204e9cc2,210
148,0xea1f90fbE8347ffd18B1016017D6a58ba3B167e5,210
149,0xf92808DEf4E03A49639F4e19752bC7360a313354,210
150,0x00e011ad851f3B2bb36ecA8BD6bE5F585B2578b8,205
151,0x190FDd9090854Ab40a9854eBE8F7d3087b0ef2C5,205
152,0x3670c3736379Ac2d5C821344FBF7D0202c34BBD1,205
153,0x525B4Bbf495e645aEfe195545aA827A33875f075,205
154,0x58E711C0A4f28Ce553Ceb77a9fC0eEfe55a473e4,205
155,0x62aB4d1ece4E0D160b1Df59808E294939D8e0228,205
156,0x833cC636c2A48ee7D404170B94706354a68D5E15,205
157,0x85F2B2C3FE4F36F8644C3e74E978132e006337FC,205
158,0xB4fE1615A99a011927E8B35c632C147ad38caa82,205
159,0xCee8681D1Cf47d65E858B2F1b9B98012EB764DE3,205
160,0xd32fa3257F126448F4E4ef7BC54f9aca8f059eEe,205
161,0x30211e757Ad294C137c11eB9438570B8B0922Ac0,200
162,0x3E5F8A93E2cf3DCCA1918cb82FBbdc3474438393,200
163,0x4e091c68defc943479ea01cc49e8c77e61dbe87d,200
164,0x4F45Bd23Fe4017a6Dabf082Cf459A54418E115D2,200
165,0x5892FEB72275370AcDf6d936e88178654a21E689,200
166,0x7EEBa1e25c26326564e620F34a0CA0bdF81E0060,200
167,0x9E1a6d5D5D917dd6c3b3C3406670d21AF19b6EA6,200
168,0xb81CED248E3167608035B2c2cb31e0433Dd6F263,200
169,0xCE9c43373A5BCf0AF62766466244C190D036fd4c,200
170,0xD384FF0dC552e89a9729974AB1CcA3d580DBA30f,200
171,0xDa98406F2Ce491Fe75543654742301101dB4bb09,200
172,0xE5D944E33Ca72EA3C7BC14322198146D3F307fAd,200
173,0xFBafb95aD9E33d42892e14867EA45cD48e979F9d,200
174,0x32D2B5a036D4B28DAF8018e6Beb39C154B7d403d,195
175,0x614e922409D18ED7bb4A87A7F61B3a9907E7Db69,195
176,0x687C73ECE7640E5d96500B6ce316629E3593a2fD,195
177,0x73B2E83fA1EE3057053350e830Ecc3b535672B62,195
178,0x8f2Ee979D4275d7345e66490F71E25FA156eAAb6,195
179,0x9825567E91ece94654F287a4dd8314483c54F51b,195
180,0x9e6D2D614ac3A3aDE8B3197E0D33114b8FE1fd31,195
181,0xa0C3661726748bDF4a717D33ABb4d7beaF15770A,195
182,0xE3d147014E464C01A463F6765cd476b44EF2e427,195
183,0xf157Dccf57F5d02D177c0792d9955775593A35D2,195
184,0xfd0d4AAC558cB866164795F3970C594425786650,195
185,0x028e7D92AaD3055FdeDcA13685DD4733228FaAA7,190
186,0x08a59dacde5153F5cfda4B044dba1dc852480Fe4,190
187,0x10Eb78907E27C2fe7e468f0ecfAea409Faa99c02,190
188,0x3e2613097CF934f39D7C0954cC3929a5FA3F9FE5,190
189,0x47fae3fD4f5F5A725c6E7e5b85a4c5c0452Ae453,190
190,0x4E0DA3f673bEcF424dC83bAEC24aDfF379C92b0f,190
191,0x83A982D133E29ac2146ba4c33321Df2f0720993d,190
192,0x8bF81D5f0e955732efcd9e62117342c6e6aC5f4a,190
193,0x9A94affF609f96aFbAb2dA67Fb2aBddAE3491994,190
194,0xAC805ece0c3571Eb793D3B5256c4744cef87BcE2,190
195,0xB30bd48E6E2DBCd4cC1230C3d81b6821497064A1,190
196,0xb77ff2381F7b0EC5ca790292Ad7001bdA19Be630,190
197,0xb94b1b0338c9E923BCE8de3aBac5882505F73aaC,190
198,0xc2e771Fa03d3b51a76DA4734232B915958c41163,190
199,0xC50a4D0B31e1172bC6E4b6Da8575C56AaD99150a,190
200,0xCA8e0E8E631a70A9D71B3d1B8322F4D26219e659,190
201,0xeADB60504B34915846b44F05Cc6db85b51F927C1,190
202,0x0B4dD179AfCF1D1fA2ccE2079aC5460943eC8256,185
203,0x10759a3dDc243bF17e387f3aD3572fc64d484457,185
204,0x13D3d3669b5cAe03B6b5cCF48bC260Af9b0C0406,185
205,0x20f6d7cAB7B2668dD910ee03F3dabCF343DE9fD9,185
206,0x75269B605b71e74caA4053ee550508C103427be5,185
207,0xA0F25e1a12907E2891A8eDfF70d12B5c959C1a5E,185
208,0xa993342Ed6dBBF2836f53BD274f0ab6697c0Ae5e,185
209,0xAf66e44fDDD8A9f2A13E60B82704a9A91fE91e1D,185
210,0xbD70684d79Bee3c40Ecdb4A709c6036d0d93FFa8,185
211,0xC97713b8142d95D4f765006Ca1d8CE2Aa268b02a,185
212,0xeb07d82497Cb04A4c037bC0abDe5C6d50E5e24Fd,185
213,0xfE78FdCF9A393832A6923AaDD9dB511638895CEe,185
214,0x045AB4fBcba515053EE38D955866be9372280F59,180
215,0x07A0CBe5C6f2A666336225F8b0f4Bfa93E690787,180
216,0x210E49E037D9Cc19b06c3B93AD3922dAc92d46Df,180
217,0x410C469B374F2dce92e10e5ce5Acc32C0ee6c4d7,180
218,0x41D895190dFA8e5B0F828e828Ee9Ff4335dA9A84,180
219,0x5aA2EC0B409B78ECaa7188d6e3a448d579d40517,180
220,0x806F2eA6eEF5F97F8306Bfc9E53f428D58b77dA9,180
221,0x9586a5E797Aa0AcD3b279D48d54881E71EC4086C,180
222,0x9D3447A53879e896Ea76155Ba9786086090c534A,180
223,0x9F1acD8b8c0A02e1C44189239BDa943773aD2165,180
224,0xB5BEaa46A022e84ED944E44124b59bA5BE2090A5,180
225,0xBb7f135b9e873947448E411f70325BB569151219,180
226,0xc3EFbD196813402d98dCF1fF5292d127Da9830ED,180
227,0xc9B30769ce20F9Af9a1AC440c1e93f3D3427F0e4,180
228,0xFcAF2F6EAF61B73f1775e1acA9C11ae48Af334d7,180
229,0x02657C7615fEe164b54D06d2fd722340Fc7cAdAF,175
230,0x0B8337491CA3881B704A00297d49676b3341004c,175
231,0x348BE215F323d936859022A6fc3160187D974c41,175
232,0x34e783B0357533Bef0B9F4c57A27A9F2032a8466,175
233,0x3c2340A29b82848F5F1b040d0A3a6Ed8CF291F1C,175
234,0x55B9b9D3b3E74FcdcABFD8d88B0bcE65E5CcD969,175
235,0x5C8AEd0fBf1c5E998848743E351CE7072593707b,175
236,0x693b29a754963001dC8C50137Fb9bC1DB72b89ec,175
237,0x727aA59E8A1660A487343A777215c77eC57c2D27,175
238,0x9825044531217139C4D55a50De2Bd5bfE3559c87,175
239,0xA4DC95f43eD313c8afBf2660B2240E6990b3C452,175
240,0xb946e9082FE29e642151C7a7A452967153a53135,175
241,0xbF8080B93E2a2DCb2018fa12C88a1f6c406628aa,175
242,0xC0cb3f2B9136C0b8AD944b1ee4fc6F54f24F99cD,175
243,0xd06355fc3319024731fbb3b9e62567612096d49b,175
244,0xf0E443a808621Dd2E4A054B2fa9b7b4ebf7faD9f,175
245,0x0AE10b7ECE888874A7904f8f714448b697A287d3,170
246,0x253de042b18D7dd462aEE23307949AF1e07A023c,170
